RAW;ESP mV;Multimetr
0;142;12
0;142;51
0;142;88
33;168;138
176;202;177
191;295;271
281;365;340
417;474;453
520;554;533
629;642;620
779;761;745
934;885;869
1065;989;967
1130;1040;1022
1213;1107;1088
1307;1181;1165
1439;1286;1266
1516;1347;1329
1603;1416;1395
1652;1456;1437
1769;1547;1527
1906;1657;1638
1991;1726;1707
2098;1812;1789
2148;1849;1827
2263;1944;1925
2347;2008;1987
2455;2094;2070
2541;2162;2140
2627;2230;2200
2676;2269;2250
2756;2334;2300
2827;2392;2360
2909;2451;2430
2995;2510;2490
3078;2570;2550
3162;2624;2610
3260;2695;2680
3328;2738;2720
3423;2796;2780
3512;2848;2830
3650;2919;2900
3774;2980;2970
3910;3043;3020
4076;3115;3100
