RAW;ESP mV;Multimetr
0;142;11
0;142;71
18;146;118
217;326;285
341;410;404
574;616;605
763;733;739
865;842;821
982;918;915
1184;1081;1045
1283;1151;1137
1391;1253;1237
1515;1356;1335
1643;1476;1435
1734;1544;1518
1868;1625;1605
1894;1675;1659
2060;1784;1754
2123;1819;1803
2181;1881;1873
2251;1963;1920
2280;1989;1950
2333;1998;1996
2402;2064;2040
2512;2137;2120
2603;2208;2180
2627;2249;2220
2672;2307;2270
2799;2363;2330
2838;2405;2390
2933;2446;2450
2992;2502;2500
3057;2544;2550
3134;2621;2620
3248;2686;2670
3274;2742;2720
3379;2799;2770
3446;2809;2820
3570;2857;2850
3606;2927;2900
3679;2943;2940
3848;2964;2990
3920;3016;3020
